region,bracket,guid,name,server,faction,class,spec,race,rating,ranking,wins,losses,winrate
US,5v5,54696397,Luckydummys,Dreamscythe,Alliance,Shaman,Restoration,Draenei,2079,1325,48,45,52
US,5v5,79299283,Bfzsucks,Nightslayer,Horde,Druid,Restoration,Tauren,2073,1378,68,43,61
US,5v5,64144568,Anphel,Nightslayer,Alliance,Mage,Frost,Human,2070,1392,114,100,53
US,5v5,72982821,Borachan,Nightslayer,Alliance,Warlock,Demonology,Human,2069,1411,68,41,62
US,5v5,58544861,Kazê,Nightslayer,Horde,Rogue,Subtlety,Undead,2065,1447,37,23,62
US,5v5,49975098,Loafofbreadd,Dreamscythe,Alliance,Paladin,Holy,Dwarf,2059,1496,138,134,51
US,5v5,77641066,Wfbotx,Nightslayer,Alliance,Shaman,Restoration,Draenei,2056,1516,32,24,57
US,5v5,74065654,Pillarbrain,Nightslayer,Horde,Shaman,Elemental,Orc,2049,1583,157,82,66
US,5v5,74301049,Mxmlx,Nightslayer,Alliance,Paladin,Retribution,Human,2047,1605,60,28,68
US,5v5,75358437,Natashinka,Nightslayer,Alliance,Warrior,Arms,Gnome,2047,1605,46,26,64
US,5v5,75411936,Tongsuwang,Nightslayer,Alliance,Warlock,Demonology,Human,2047,1605,166,88,65
US,5v5,55122535,Cinema,Nightslayer,Alliance,Priest,Discipline,Dwarf,2046,1620,60,39,61
US,5v5,61803762,Shamannx,Nightslayer,Horde,Shaman,Enhancement,Tauren,2045,1623,125,101,55
US,5v5,78259911,Hexsham,Nightslayer,Horde,Shaman,Enhancement,Troll,2044,1640,76,58,57
US,5v5,68295564,Phokthisgame,Nightslayer,Horde,Druid,Restoration,Tauren,2032,1773,120,95,56
US,5v5,74202610,Jibjobjruid,Nightslayer,Horde,Druid,Restoration,Tauren,2024,1872,212,100,68
US,5v5,78010054,Bøømer,Nightslayer,Horde,Warrior,Arms,Orc,2023,1887,110,84,57
US,5v5,70252188,Shamanntha,Nightslayer,Horde,Warrior,Arms,Orc,2017,1999,105,90,54
US,5v5,70357005,Nuca,Nightslayer,Alliance,Priest,Discipline,Human,2016,2035,153,121,56
US,5v5,72928167,Stinkeeboi,Nightslayer,Alliance,Shaman,Restoration,Draenei,2015,2060,69,49,58
US,5v5,77950903,Jayspark,Nightslayer,Horde,Shaman,Elemental,Orc,2004,2308,215,212,50
US,5v5,79824819,Twotontruck,Nightslayer,Horde,Mage,Frost,Undead,2003,2337,75,50,60
US,5v5,72959655,Hevn,Nightslayer,Alliance,Shaman,Restoration,Draenei,1990,2513,196,173,53
US,5v5,74764177,Ninjafrog,Nightslayer,Alliance,Rogue,Subtlety,Human,1985,2583,45,35,56
US,5v5,64630822,Onetontruck,Nightslayer,Horde,Mage,Arcane,Undead,1976,2713,167,158,51
US,5v5,65496562,Overhealer,Nightslayer,Horde,Shaman,Elemental,Orc,1972,2771,122,100,55
US,5v5,78378539,Koreanbros,Nightslayer,Alliance,Paladin,Protection,Human,1971,2788,171,155,52
US,5v5,73016957,Harddad,Nightslayer,Horde,Warrior,Fury,Orc,1971,2788,75,66,53
US,5v5,101642681,Kinkyssham,Dreamscythe,Horde,Shaman,Enhancement,Orc,1970,2812,115,68,63
US,5v5,46774697,Skatjaymd,Dreamscythe,Alliance,Priest,Discipline,Human,1968,2844,97,56,63
US,5v5,78026857,Kobeelol,Nightslayer,Alliance,Rogue,Subtlety,Human,1966,2873,57,41,58
US,5v5,57873277,Simbaähunter,Nightslayer,Alliance,Hunter,Survival,Dwarf,1964,2901,161,149,52
US,5v5,73063520,Gcp,Nightslayer,Horde,Rogue,Subtlety,Undead,1963,2914,26,5,84
US,5v5,77885369,Thenormm,Nightslayer,Horde,Shaman,Restoration,Orc,1963,2914,347,290,54
US,5v5,48978443,Wuupaw,Dreamscythe,Alliance,Druid,Feral Combat,Night Elf,1961,2935,47,26,64
US,5v5,78633549,Innôcent,Nightslayer,Alliance,Paladin,Protection,Human,1961,2935,125,92,58
US,5v5,77542149,Dris,Nightslayer,Horde,Rogue,Subtlety,Undead,1957,3003,109,99,52
US,5v5,53889978,Tonzofstunz,Nightslayer,Horde,Rogue,Subtlety,Undead,1953,3056,59,55,52
US,5v5,75768395,Whittep,Nightslayer,Horde,Paladin,Retribution,Blood Elf,1947,3151,148,95,61
US,5v5,75372368,Milorada,Nightslayer,Alliance,Druid,Restoration,Night Elf,1945,3187,31,11,74
US,5v5,78879291,Qtmagé,Nightslayer,Horde,Mage,Frost,Undead,1943,3213,91,66,58
US,5v5,68380131,Petco,Nightslayer,Alliance,Hunter,Beast Mastery,Dwarf,1943,3213,172,175,50
US,5v5,74631209,Houseofbeef,Nightslayer,Horde,Druid,Balance,Tauren,1942,3234,76,63,55
US,5v5,47802056,Wuup,Dreamscythe,Alliance,Paladin,Protection,Human,1942,3234,49,21,70
US,5v5,58621821,Earlsweats,Nightslayer,Alliance,Warrior,Arms,Gnome,1939,3291,131,80,62
US,5v5,74622824,Nestar,Nightslayer,Alliance,Mage,Frost,Gnome,1936,3365,147,129,53
US,5v5,66016870,Petnovagodx,Nightslayer,Horde,Mage,Frost,Undead,1932,3440,77,53,59
US,5v5,78132653,Pureshadow,Nightslayer,Horde,Priest,Discipline,Undead,1932,3440,163,119,58
US,5v5,79385824,Ishiyama,Nightslayer,Alliance,Mage,Frost,Gnome,1931,3461,30,12,71
US,5v5,78196671,Notmiami,Nightslayer,Alliance,Warlock,Demonology,Human,1931,3461,75,56,57
US,5v5,77557330,Shamanngela,Nightslayer,Horde,Shaman,Restoration,Troll,1927,3543,177,145,55
US,5v5,69236064,Juansfanclub,Nightslayer,Horde,Druid,Feral Combat,Tauren,1923,3633,85,66,56
US,5v5,62730841,Jackwl,Nightslayer,Horde,Warrior,Fury,Orc,1921,3680,31,19,62
US,5v5,78576957,Skïds,Nightslayer,Alliance,Priest,Discipline,Dwarf,1921,3680,54,24,69
US,5v5,55454053,Gladtacosham,Dreamscythe,Horde,Shaman,Restoration,Tauren,1920,3706,107,98,52
US,5v5,78453165,Wolfraud,Nightslayer,Alliance,Warrior,Arms,Gnome,1912,3916,101,71,59
US,5v5,77294524,Murflol,Nightslayer,Alliance,Hunter,Beast Mastery,Draenei,1912,3916,134,102,57
US,5v5,48463436,Qooti,Dreamscythe,Alliance,Warrior,Arms,Gnome,1910,3982,355,257,58
US,5v5,55533329,Sogouti,Dreamscythe,Alliance,Druid,Restoration,Night Elf,1910,3982,353,256,58
US,5v5,74530313,Mìlkdeez,Nightslayer,Horde,Druid,Balance,Tauren,1907,4049,89,61,59
US,5v5,74782123,Shaqlolz,Nightslayer,Alliance,Priest,Discipline,Dwarf,1907,4049,85,63,57
US,5v5,73016426,Tekrett,Nightslayer,Horde,Paladin,Retribution,Blood Elf,1905,4098,44,22,67
US,5v5,60215603,Smolgandii,Nightslayer,Alliance,Warrior,Arms,Gnome,1905,4098,67,50,57
US,5v5,74038233,Sere,Nightslayer,Horde,Paladin,Holy,Blood Elf,1905,4098,71,45,61
US,5v5,53971153,Ear,Nightslayer,Alliance,Priest,Discipline,Dwarf,1904,4136,70,65,52
US,5v5,78052426,Sÿlvariné,Nightslayer,Alliance,Priest,Holy,Human,1894,4396,120,104,54
US,5v5,79055016,Yourkidsdad,Nightslayer,Horde,Warrior,Arms,Orc,1890,4511,39,29,57
US,5v5,72893222,Moey,Nightslayer,Horde,Paladin,Holy,Blood Elf,1890,4511,102,83,55
US,5v5,69420723,Kazeswd,Nightslayer,Horde,Priest,Discipline,Undead,1882,4729,117,91,56
US,5v5,74419582,Crazystylex,Nightslayer,Alliance,Warrior,Arms,Gnome,1882,4729,27,19,59
US,5v5,72863632,Mommygoat,Nightslayer,Alliance,Shaman,Restoration,Draenei,1882,4729,39,27,59
US,5v5,77950863,Babysharkman,Nightslayer,Horde,Warrior,Arms,Orc,1881,4770,94,78,55
US,5v5,66468161,Sfgriefer,Nightslayer,Alliance,Mage,Frost,Gnome,1880,4804,49,39,56
US,5v5,78085733,Mácanuo,Nightslayer,Horde,Shaman,Restoration,Tauren,1880,4804,295,286,51
US,5v5,72953067,Smartpointer,Nightslayer,Alliance,Warlock,Demonology,Gnome,1879,4834,61,42,59
US,5v5,72564394,Yuhm,Nightslayer,Alliance,Druid,Restoration,Night Elf,1878,4873,25,15,62
US,5v5,76930155,Gìxmage,Nightslayer,Horde,Mage,Arcane,Troll,1876,4931,35,31,53
US,5v5,78522739,Nëxïs,Nightslayer,Alliance,Rogue,Subtlety,Human,1875,4959,24,15,62
